timer	pos	dir	vel	steering	steering_input	brake	brake_input	throttle	throttle_input	wheelspeed	vel_kmh	is_oob	oob_counter	max_oob_percentage	oob_distance
2.0505000837147236	(12.301431655883789, 51.169715881347656, -27.768146514892578)	(0.11169397085905075, 0.9937344789505005, -0.003998413681983948)	(0.6768276691436768, 3.9894559383392334, 0.07458650320768356)	-81.3595400865743	0.16167329421267118	0	0	0.09325937555655103	0.09325937555655103	4.429875913047519	15	False	0	0	1.5577950350014802
2.234500091522932	(12.435328483581543, 51.921504974365234, -27.76832389831543)	(0.13792170584201813, 0.9904372096061707, -0.003431639401242137)	(0.7858940362930298, 4.020528316497803, 0.017885049805045128)	-86.91128140383769	0.17261167240223418	0	0	0.15336028885555184	0.15336028885555184	4.3236779418159825	15	False	0	0	1.4450928417548483
2.4155001044273376	(12.598922729492188, 52.70522689819336, -27.765777587890625)	(0.16662080585956573, 0.9860202670097351, -0.0012740324018523097)	(0.9985235333442688, 4.46653938293457, -0.015589294023811817)	-92.59045916953676	0.18378361244441857	0	0	0.06835921633485247	0.06835921633485247	4.5943113416677575	16	False	0	0	1.3148668580390526
2.597250111401081	(12.797745704650879, 53.52042770385742, -27.765703201293945)	(0.19887098670005798, 0.9800230860710144, -0.0022628901060670614)	(1.2730885744094849, 4.743388652801514, 0.02985088713467121)	-96.74670774201883	0.1910491683755278	0	0	0.09929347091970929	0.09929347091970929	5.042855430287754	18	False	0	0	1.1654931331908207
2.782000120729208	(13.048715591430664, 54.40519332885742, -27.765602111816406)	(0.23480746150016785, 0.9720367193222046, -0.0031751529313623905)	(1.4991074800491333, 4.920325756072998, 0.0047271111980080605)	-102.44657704256483	0.20068122218239842	0	0	0.1343622021191974	0.1343622021191974	5.3449563764365156	19	False	0	0	0.987725354051193
2.964000128209591	(13.344322204589844, 55.31341552734375, -27.765668869018555)	(0.2728026807308197, 0.9620652198791504, -0.003015903988853097)	(1.772200584411621, 5.088461875915527, 0.011225474998354912)	-96.51482798636584	0.1853924795255396	0	0	0.14625119264941522	0.14625119264941522	5.553360616902766	19	False	0	0	0.7917256116146454
3.145500134676695	(13.6832275390625, 56.24961471557617, -27.76578712463379)	(0.30846670269966125, 0.9512298107147217, -0.003159803105518222)	(2.015418291091919, 5.282291412353516, 0.015924595296382904)	-86.52336532388055	0.16566476796240007	0	0	0.14610116917338795	0.14610116917338795	5.906021490764623	20	False	0	0	0.5858850584566664
3.323250140994787	(14.061598777770996, 57.20556640625, -27.76573371887207)	(0.3411027193069458, 0.9400222301483154, -0.0026917660143226385)	(2.2346580028533936, 5.511573791503906, -0.03187313675880432)	-75.5600204345991	0.14365727766354283	0	0	0.15545511628478784	0.15545511628478784	6.1160731584979295	21	False	0	0	0.3798589418557772
3.501250147819519	(14.484346389770508, 58.19880676269531, -27.76601791381836)	(0.3701511025428772, 0.9289674758911133, -0.002743516582995653)	(2.507032871246338, 5.664469242095947, -0.01540838461369276)	-64.2211340187232	0.12293469516815281	0	0	0.1395506377937602	0.1395506377937602	6.321349038614893	22	False	0	0	0.17982747662710974
3.67975015565753	(14.95116901397705, 59.225528717041016, -27.76593589782715)	(0.39622262120246887, 0.9181495904922485, -0.0029843382071703672)	(2.739248275756836, 5.821717739105225, 0.010726464912295341)	-60.1757744021271	0.11845693228681119	0	0	0.11922106569504695	0.11922106569504695	6.612678867840396	23	False	0	0	0.00730610635238671
3.857250165194273	(15.459823608398438, 60.268070220947266, -27.76588249206543)	(0.42198294401168823, 0.9065966606140137, -0.0035859576892107725)	(2.9894349575042725, 5.917801380157471, 0.008373015560209751)	-64.09427127355846	0.1287685246785071	0	0	0.10666823266036833	0.10666823266036833	6.6709991002000715	24	False	0	0	-0.13139820818823278
4.040250174701214	(16.034595489501953, 61.355098724365234, -27.765817642211914)	(0.4514252245426178, 0.8922968506813049, -0.004667581524699926)	(3.314286947250366, 5.916630268096924, 0.00943656824529171)	-74.53564858533781	0.15130749442027136	0	0	0.10815901445159279	0.10815901445159279	6.97393126070439	24	False	0	0	-0.227808477279277
